id,question,A,B,C,D,answer,difficulty
1,Mạng máy tính là?,Kết nối phần mềm,Kết nối máy tính,Kết nối internet,Kết nối server,B,easy
2,Thiết bị kết nối mạng?,CPU,RAM,Switch,ALU,C,easy
3,Giao thức Internet?,FTP,HTTP,TCP/IP,SMTP,C,easy
4,Địa chỉ IPv4 có bao nhiêu bit?,16,32,64,128,B,easy
5,Thiết bị chia mạng LAN?,Hub,Router,Modem,Firewall,A,easy
6,Tầng thấp nhất OSI?,Application,Transport,Physical,Network,C,easy
7,HTTP dùng cổng?,21,25,80,443,C,easy
8,Thiết bị định tuyến?,Switch,Router,Hub,Repeater,B,easy
9,Địa chỉ MAC dài?,32 bit,48 bit,64 bit,128 bit,B,easy
10,Giao thức gửi mail?,FTP,SMTP,POP3,DNS,B,easy
11,LAN là?,Mạng cục bộ,Mạng diện rộng,Mạng toàn cầu,Mạng không dây,A,easy
12,WiFi dùng sóng?,Hồng ngoại,Âm thanh,Radio,Tia X,C,easy
13,Tầng OSI xử lý địa chỉ IP?,Data Link,Transport,Network,Session,C,easy
14,HTTPS là?,HTTP bảo mật,HTTP nhanh,HTTP nén,HTTP cũ,A,easy
15,Thiết bị khuếch đại tín hiệu?,Router,Repeater,Switch,Firewall,B,easy
16,DNS dùng để?,Gửi mail,Phân giải tên,Định tuyến,Chia mạng,B,easy
17,FTP dùng để?,Chat,Truyền file,Mail,Web,B,easy
18,Địa chỉ loopback?,0.0.0.0,127.0.0.1,192.168.1.1,255.255.255.0,B,easy
19,Mạng WAN là?,Nội bộ,Toàn cầu,Không dây,Cục bộ,B,easy
20,Thiết bị bảo mật mạng?,Hub,Switch,Firewall,Repeater,C,easy
21,TCP là?,Hướng kết nối,Không kết nối,Quảng bá,Định tuyến,A,easy
22,UDP là?,Hướng kết nối,Không kết nối,Mã hóa,Bảo mật,B,easy
23,Cổng HTTPS?,80,21,443,25,C,easy
24,IPv6 có bao nhiêu bit?,32,64,128,256,C,easy
25,Switch hoạt động tầng?,1,2,3,4,B,easy
26,Router hoạt động tầng?,1,2,3,4,C,easy
27,Ping dùng?,Kiểm tra kết nối,Gửi mail,Copy file,Bảo mật,A,easy
28,ICMP dùng cho?,Mail,Báo lỗi,Web,FTP,B,easy
29,Subnet mask dùng?,Chia mạng,Mã hóa,Định tuyến,Firewall,A,easy
30,Địa chỉ private?,8.8.8.8,192.168.1.1,1.1.1.1,172.0.0.1,B,easy
31,Modem dùng?,Chuyển tín hiệu,Định tuyến,Bảo mật,Chia VLAN,A,easy
32,Telnet cổng?,21,22,23,25,C,easy
33,SSH cổng?,21,22,23,80,B,easy
34,POP3 dùng?,Nhận mail,Gửi mail,Web,Chat,A,easy
35,IMAP khác POP3?,Lưu server,Nhanh hơn,Bảo mật,Offline,A,easy
36,HTTP là giao thức?,Có trạng thái,Không trạng thái,Bảo mật,Mã hóa,B,easy
37,Bridge nối?,LAN-WAN,LAN-LAN,WAN-WAN,WiFi,B,easy
38,Access Point dùng?,WiFi,LAN,VPN,Firewall,A,easy
39,Packet là?,Khung dữ liệu,Đơn vị dữ liệu,Địa chỉ,Mã hóa,B,easy
40,Frame thuộc tầng?,Network,Data Link,Transport,Physical,B,easy
41,OSI có bao nhiêu tầng?,5,6,7,8,C,medium
42,TCP đảm bảo?,Thứ tự,Tốc độ,Broadcast,Cả A,B,A,medium
43,UDP dùng khi?,Realtime,File lớn,Bảo mật,Critical,A,medium
44,CSMA/CD dùng trong?,Ethernet,WiFi,Token Ring,FDDI,A,medium
45,ARP dùng để?,IP->MAC,MAC->IP,DNS,Routing,A,medium
46,NAT dùng để?,Chuyển IP,Chia VLAN,Bảo mật,Tăng tốc,A,medium
47,VLAN là?,Mạng ảo,Mạng vật lý,Mạng WAN,Mạng WiFi,A,medium
48,Switch L3 khác L2?,Định tuyến,Broadcast,Tốc độ,Cổng,A,medium
49,TTL trong IP?,Thời gian sống,Băng thông,Mã hóa,Port,A,medium
50,Default gateway là?,Router,HUB,Switch,Server,A,medium
51,DNS record A là?,IPv4,IPv6,Mail,Alias,A,medium
52,DNS record MX?,Mail,IP,Alias,TXT,A,medium
53,Collision domain?,Xung đột gói,Lỗi IP,Firewall,NAT,A,medium
54,Broadcast domain?,Vùng quảng bá,Vùng IP,Vùng VLAN,Vùng WAN,A,medium
55,MTU là?,Kích thước gói tối đa,Băng thông,Tốc độ,Mã hóa,A,medium
56,ICMP echo?,Ping,Traceroute,ARP,DNS,A,medium
