id,question,A,B,C,D,answer,difficulty
1,Python là ngôn ngữ?,Biên dịch,Thông dịch,Lắp ráp,Markup,B,easy
2,Java chạy trên?,JVM,CLR,Native,Web,A,easy
3,Lệnh git để sao chép repo?,git copy,git clone,git pull,git init,B,easy
4,HTML viết tắt của?,HyperText Markup Language,Hyperlink Text Markup,Hyper Transfer Markup,Hyper Terminal Markup,A,easy
5,Toán tử so sánh bằng trong Python?,=,==,===,!=,B,easy
6,Khai báo biến trong C dùng từ khóa?,var,let,int,define,C,easy
7,Cấu trúc rẽ nhánh trong C?,for,while,if,switch,C,easy
8,CSS dùng để?,Xử lý logic,Tạo cấu trúc,Trang trí giao diện,Lưu dữ liệu,C,easy
9,JavaScript chạy ở đâu?,Server,Trình duyệt,Compiler,Database,B,easy
10,Kiểu dữ liệu số nguyên trong Java?,float,double,int,char,C,easy
11,Lệnh in ra màn hình trong Python?,print(),echo(),write(),cout,B,easy
12,Mảng trong C bắt đầu từ chỉ số?,0,1,-1,2,A,easy
13,Git dùng để?,Soạn thảo code,Quản lý phiên bản,Thiết kế UI,Test,B,easy
14,Toán tử logic AND trong C?,&&,||,&,and,A,easy
15,File header C++ có đuôi?,.cp,.h,.cpp,.hpp,B,easy
16,Framework backend Java?,React,Angular,Spring,Django,C,easy
17,Ký hiệu comment 1 dòng trong Python?,//,#,/* */,--,B,easy
18,IDE phổ biến cho Java?,VS Code,Eclipse,Notepad,Word,B,easy
19,SQL dùng để?,Thiết kế UI,Quản lý CSDL,Viết API,Test,B,easy
20,Hàm main trong C trả về?,void,int,float,double,B,easy
21,Toán tử tăng 1 trong C?,++,--,+=,=+,A,easy
22,JavaScript là ngôn ngữ?,Biên dịch,Thông dịch,Cấp thấp,Assembly,B,easy
23,Lệnh tạo branch git?,git new,git branch,git fork,git checkout,B,easy
24,HTML thẻ xuống dòng?,<br>,<p>,<hr>,<div>,A,easy
25,C++ hỗ trợ lập trình?,Hàm,Thủ tục,Hướng đối tượng,Cả A và C,D,easy
26,Python list dùng để?,Lưu key-value,Lưu tập hợp có thứ tự,Lưu hằng số,Lưu file,B,easy
27,Câu lệnh lặp xác định số lần?,while,do-while,for,loop,C,easy
28,JS file có đuôi?,.java,.js,.jsx,.ts,B,easy
29,Toán tử OR trong Python?,||,or,|,OR,B,easy
30,Ngôn ngữ nào strongly typed?,Python,Java,PHP,JS,B,easy
31,C dùng để phát triển?,Web,Mobile,System,AI,C,easy
32,Lệnh kết thúc chương trình C?,exit,return 0,stop,break,B,easy
33,SQL lệnh lấy dữ liệu?,INSERT,DELETE,UPDATE,SELECT,D,easy
34,C++ stream output?,cin,cout,print,echo,B,easy
35,Python dictionary lưu?,Danh sách,Cặp key-value,Mảng 2 chiều,Tuple,B,easy
36,Java package dùng để?,Nén file,Nhóm class,Chạy JVM,Compile,B,easy
37,HTML thẻ tạo link?,<a>,<link>,<href>,<url>,A,easy
38,CSS thuộc tính màu chữ?,font,color,text-color,foreground,B,easy
39,Git kiểm tra trạng thái?,git log,git check,git status,git info,C,easy
40,Python tuple có thể thay đổi?,Có,Không,Tùy phiên bản,Tùy IDE,B,easy
41,Khác nhau giữa == và === trong JS?,Kiểu dữ liệu,Giá trị,Cả 2,Không khác,C,medium
42,OOP có bao nhiêu tính chất chính?,2,3,4,5,C,medium
43,Stack hoạt động theo?,FIFO,LIFO,Random,Priority,B,medium
44,Queue khác Stack ở?,Thứ tự truy xuất,Bộ nhớ,Tốc độ,Kích thước,A,medium
45,Overloading là?,Ghi đè hàm,Nạp chồng hàm,Ẩn hàm,Xóa hàm,B,medium
46,Con trỏ trong C lưu?,Giá trị,Địa chỉ,Kiểu dữ liệu,File,B,medium
47,Thời gian chạy thuật toán O(n²)?,Bậc hai,Tuyến tính,Log,Constant,A,medium
48,SQL khóa chính?,FOREIGN KEY,PRIMARY KEY,UNIQUE,INDEX,B,medium
49,Abstract class khác interface?,Có biến instance,Không có method,Có constructor,Không kế thừa,C,medium
50,Python pass dùng để?,Dừng chương trình,Bỏ qua khối lệnh,Thoát hàm,In ra,B,medium
51,HTTP GET khác POST?,Bảo mật,Dữ liệu gửi đi,Caching,Cả A và B,D,medium
52,Try-catch dùng để?,Xử lý lỗi,Lặp,Điều kiện,Đa luồng,A,medium
