1,C++ là ngôn ngữ lập trình được sử dụng phổ biến trong phát triển phần mềm hệ thống,Ngôn ngữ kịch bản,Ngôn ngữ hướng đối tượng,Ngôn ngữ đánh dấu,Ngôn ngữ máy,B,easy
2,Python thường được dùng nhiều trong lĩnh vực nào hiện nay,Phân tích dữ liệu,Thiết kế phần cứng,Lập trình driver,Hệ điều hành,A,easy
3,HTML có vai trò chính gì trong ứng dụng web,Tạo cấu trúc trang,Xử lý nghiệp vụ,Quản lý cơ sở dữ liệu,Định tuyến mạng,A,easy
4,JavaScript giúp trang web có đặc điểm gì,Tương tác động,Tĩnh hoàn toàn,Chỉ hiển thị văn bản,Không chạy được,A,easy
5,SQL cho phép người dùng thực hiện điều gì,Truy vấn dữ liệu,Tạo giao diện,Thiết kế mạng,Quản lý tiến trình,A,easy
6,Python sử dụng hàm input để làm gì,Nhận dữ liệu từ người dùng,In dữ liệu ra màn hình,Đọc file hệ thống,Tạo biến,A,easy
7,Git là công cụ hỗ trợ lập trình viên trong việc gì,Quản lý mã nguồn,Soạn thảo văn bản,Thiết kế đồ họa,Kiểm soát mạng,A,easy
8,Java chạy được trên nhiều hệ điều hành nhờ vào thành phần nào,JVM,CPU,BIOS,Kernel,A,easy
9,CSS thường được dùng để thay đổi yếu tố nào của trang web,Giao diện hiển thị,Logic xử lý,Dữ liệu backend,Kết nối mạng,A,easy
10,Python list có đặc điểm quan trọng nào,Có thể thay đổi kích thước,Không thể thay đổi,Chỉ đọc,Cố định,A,easy
11,Trong Java từ khóa class dùng để làm gì,Định nghĩa lớp,Khai báo biến,Gọi hàm,Tạo package,A,easy
12,Git pull thường được dùng trong trường hợp nào,Lấy mã nguồn mới nhất từ kho,Gộp nhánh cục bộ,Xóa lịch sử commit,Tạo repository,A,easy
13,Python file thường kết thúc bằng phần mở rộng nào,py,pt,python,pyt,A,easy
14,Trong C dấu chấm phẩy dùng để làm gì,Kết thúc câu lệnh,Nối chuỗi,So sánh điều kiện,Khai báo hàm,A,easy
15,JavaScript biến có thể được khai báo bằng từ khóa nào,var,define,static,final,A,easy

16,Stack là cấu trúc dữ liệu phù hợp với trường hợp nào,Xử lý gọi hàm,Quản lý hàng đợi,Lưu file lớn,Mạng,A,medium
17,Queue thường được dùng trong tình huống nào,Xử lý theo thứ tự đến,Xử lý đệ quy,Tìm kiếm nhanh,Sắp xếp,A,medium
18,Khóa ngoại trong cơ sở dữ liệu có mục đích gì,Liên kết bảng,Định danh bản ghi,Mã hóa dữ liệu,Tăng tốc,A,medium
19,Python comprehension giúp lập trình viên đạt được điều gì,Viết code ngắn gọn,Tăng RAM,Tăng độ trễ,Giảm bảo mật,A,medium
20,Git rebase thường được dùng để làm gì,Làm gọn lịch sử commit,Xóa commit,Gộp repository,Tạo tag,A,medium
21,HTTP là giao thức có đặc điểm gì,Không lưu trạng thái,Có mã hóa,Luôn an toàn,Ràng buộc,A,medium
22,Interface trong Java được dùng khi nào,Định nghĩa hành vi chung,Lưu trạng thái,Tạo object,Chạy chương trình,A,medium
23,Big O notation dùng để biểu diễn điều gì,Độ phức tạp thuật toán,Tốc độ CPU,Dung lượng RAM,IO,A,medium
24,Python generator mang lại lợi ích gì khi xử lý dữ liệu lớn,Tiết kiệm bộ nhớ,Tăng CPU,Tăng IO,Song song,A,medium
25,Deadlock thường xảy ra trong môi trường nào,Đa luồng,Đơn luồng,Không luồng,Tuần tự,A,medium
26,Java garbage collection giúp ích điều gì,Dọn dẹp bộ nhớ tự động,Tăng tốc IO,Tăng bảo mật,Quản lý mạng,A,medium
27,Inheritance trong OOP hỗ trợ điều gì,Tái sử dụng code,Giảm hiệu năng,Ẩn dữ liệu,Tăng coupling,A,medium
28,SQL JOIN được dùng khi nào,Cần kết hợp nhiều bảng,Xóa bảng,Tạo index,Sao lưu,A,medium
29,Thread safe code có ý nghĩa gì,An toàn khi chạy đa luồng,Chạy nhanh hơn,Dùng ít RAM,Bảo mật,A,medium
30,Hash table hoạt động hiệu quả nhất trong trường hợp nào,Tìm kiếm nhanh,Sắp xếp dữ liệu,Lưu file,Duyệt tuần tự,A,medium

31,Thuật toán merge sort có đặc điểm gì về độ phức tạp xấu nhất,O n log n,O n2,O n,O log n,A,hard
32,Race condition xảy ra khi nhiều luồng cùng làm gì,Truy cập dữ liệu chung,Đọc file khác nhau,Gọi hàm riêng,Chạy tuần tự,A,hard
33,Chuẩn REST yêu cầu server có đặc tính gì,Stateless,Stateful,Đồng bộ,Tuần tự,A,hard
34,Thread pool giúp cải thiện hiệu năng bằng cách nào,Tái sử dụng luồng,Tăng số luồng,Tăng RAM,Tránh IO,A,hard
35,Memory leak ảnh hưởng nghiêm trọng đến yếu tố nào của hệ thống,Bộ nhớ,Tốc độ mạng,Bảo mật,Giao diện,A,hard
36,Lock based concurrency thường gặp vấn đề gì,Deadlock,Tăng tốc,Giảm RAM,Bảo mật,A,hard
37,ACID trong hệ quản trị cơ sở dữ liệu đảm bảo điều gì,Tính toàn vẹn dữ liệu,Giao diện đẹp,Tốc độ cao,Mã hóa,A,hard
38,Distributed system thường gặp thách thức nào,Đồng bộ dữ liệu,Giao diện phức tạp,Thiếu CPU,Thiếu IDE,A,hard
39,Thuật toán quicksort có trường hợp xấu nhất là gì,O n2,O n log n,O n,O log n,A,hard
40,Idempotent API có đặc điểm gì,Gọi nhiều lần kết quả không đổi,Tốc độ nhanh,Bảo mật cao,Luôn cache,A,hard
